,Start,Velocity,Note,Duration
606,358.0,64,41.3,0.666667
607,358.666667,64,43.4,0.666666
608,359.333333,64,47.8,0.666667
609,360.0,64,46.4,1.0
610,361.0,64,50.6,0.333333
611,361.333333,64,50.0,0.666667
612,362.0,64,55.4,0.666667
613,362.666667,64,58.4,0.333333
614,363.0,64,57.4,0.333333
615,363.333333,64,50.9,0.666667
616,364.0,64,50.6,0.666667
617,364.666667,64,57.4,0.333333
618,365.0,64,50.9,0.333333
619,365.333333,64,45.0,0.666667
620,366.0,64,46.0,0.666667
621,366.666667,64,47.8,0.666666
622,367.333333,64,53.0,0.666667
623,368.0,64,56.0,0.666667
624,368.666667,64,50.9,0.666666
625,369.333333,64,53.0,0.666667
626,370.0,64,55.0,0.666667
627,370.666667,64,58.4,0.333333
628,371.0,64,55.0,0.333333
629,371.333333,64,55.4,0.666667
630,372.0,64,55.7,1.0
631,373.0,64,50.3,0.333333
632,373.333333,64,45.5,0.666667
633,374.0,64,41.0,0.666667
634,374.666667,64,36.5,0.333333
635,375.0,64,47.8,0.333333
636,375.333333,64,38.2,0.666667
637,376.0,64,44.0,0.666667
638,376.666667,64,38.6,0.333333
639,377.0,64,45.0,0.333333
640,377.333333,64,47.8,0.666667
641,378.0,64,38.3,0.666667
642,378.666667,64,39.2,0.333333
643,379.0,64,40.6,1.0
644,380.0,64,39.2,0.666667
645,380.666667,64,40.6,0.666666
646,381.333333,64,41.6,0.666667
647,382.0,64,41.0,0.666667
648,382.666667,64,40.7,0.333333
649,383.0,64,45.5,0.333333
650,383.333333,64,50.2,0.666667
651,384.0,64,56.0,0.666667
652,384.666667,64,57.0,0.333333
653,385.0,64,59.9,1.0
654,386.0,64,55.0,1.0
655,387.0,64,50.2,1.666667
656,388.666667,64,46.1,0.333333
657,389.0,64,43.1,0.333333
658,389.333333,64,38.9,0.666667
659,390.0,64,36.5,0.666667
660,390.666667,64,45.8,0.333333
661,391.0,64,43.1,0.333333
662,391.333333,64,45.4,0.666667
663,392.0,64,45.5,0.666667
664,392.666667,64,36.2,0.333333
665,393.0,64,41.0,1.0
666,394.0,64,40.7,0.666667
667,394.666667,64,45.5,0.333333
668,395.0,64,47.8,0.333333
669,395.333333,64,50.6,0.666667
670,396.0,64,45.0,0.666667
671,396.666667,64,47.8,0.333333
672,397.0,64,45.5,0.333333
673,397.333333,64,46.4,0.666667
674,398.0,64,45.8,0.666667
675,398.666667,64,45.5,0.66666700000004
676,400.0,64,44.5,0.666667
677,400.666667,64,38.6,0.333333
678,401.0,64,40.4,1.0
679,402.0,64,41.0,0.666667
680,402.666667,64,44.0,0.333333
681,403.0,64,45.4,0.333333
682,403.333333,64,50.6,0.666667
683,404.0,64,56.0,1.0
684,405.0,64,53.0,0.333333
685,405.333333,64,56.0,0.666667
686,406.0,64,57.4,0.666667
687,406.666667,64,59.5,0.666666
688,407.333333,64,52.6,0.666667
689,408.0,64,56.0,0.666667
690,408.666667,64,48.2,0.666666
691,409.333333,64,59.9,0.666667
692,410.0,64,59.8,0.666667
693,410.666667,64,59.9,0.333333
694,411.0,64,55.0,0.333333
695,411.333333,64,57.0,0.666667
696,412.0,64,58.0,0.666667
697,412.666667,64,55.0,0.333333
698,413.0,64,53.3,0.333333
699,413.333333,64,55.4,0.666667
700,414.0,64,53.0,0.666667
701,414.666667,64,57.5,0.333333
702,415.0,64,59.8,1.0
703,416.0,64,58.4,0.666667
704,416.666667,64,56.5,0.333333
705,417.0,64,57.0,0.333333
706,417.333333,64,50.9,0.666667
707,418.0,64,45.4,0.666667
708,418.666667,64,48.5,0.333333
709,419.0,64,52.6,0.333333
710,419.333333,64,55.4,0.666667
711,420.0,64,51.2,0.666667
712,420.666667,64,55.1,0.666666
713,421.333333,64,48.2,0.666667
714,422.0,64,50.6,1.000000
715,423.0,64,45.5,0.333333
716,423.333333,64,47.8,0.666667
717,424.0,64,46.4,0.666667
718,424.666667,64,41.0,0.333333
719,425.0,64,44.5,0.333333
720,425.333333,64,40.7,0.666667
721,426.0,64,36.2,0.666667
722,426.666667,64,38.0,0.333333
723,427.0,64,38.2,0.333333
724,427.333333,64,40.4,0.666667
725,428.0,64,41.0,0.666667
726,428.666667,64,43.0,0.333333
727,429.0,64,48.5,0.333333
728,429.333333,64,52.4,0.666667
729,430.0,64,58.0,1.000000
730,431.0,64,59.9,1.0
731,432.0,64,48.8,1.0
732,433.0,64,50.0,0.333333
733,433.333333,64,49.0,0.666667
734,434.0,64,45.4,1.0
735,435.0,64,47.8,0.333333
736,435.333333,64,48.2,0.666667
737,436.0,64,48.5,0.666667
738,436.666667,64,50.2,0.333333
739,437.0,64,46.1,0.333333
740,437.333333,64,44.0,0.666667
741,438.0,64,45.0,1.0
742,439.333333,64,47.8,0.666667
743,440.0,64,48.8,1.0
744,441.0,64,53.0,0.333333
745,441.333333,64,50.9,0.666667
746,442.0,64,45.5,0.666667
747,442.666667,64,46.0,0.333333
748,443.0,64,50.2,0.333333
749,443.333333,64,55.7,0.666667
750,444.0,64,57.8,0.666667
751,444.666667,64,50.2,0.666666
