,0
251,note_off channel=0 note=69 velocity=0 time=512
252,note_on channel=0 note=72 velocity=64 time=0
253,note_off channel=0 note=72 velocity=0 time=512
254,note_on channel=0 note=74 velocity=64 time=0
255,note_off channel=0 note=43 velocity=0 time=0
256,note_off channel=0 note=46 velocity=0 time=0
257,note_off channel=0 note=50 velocity=0 time=0
258,note_off channel=0 note=53 velocity=0 time=0
259,note_on channel=0 note=43 velocity=64 time=0
260,note_on channel=0 note=46 velocity=64 time=0
261,note_on channel=0 note=50 velocity=64 time=0
262,note_on channel=0 note=52 velocity=64 time=0
263,note_off channel=0 note=74 velocity=0 time=512
264,note_on channel=0 note=68 velocity=64 time=0
265,note_off channel=0 note=68 velocity=0 time=512
266,note_on channel=0 note=67 velocity=64 time=0
267,note_off channel=0 note=43 velocity=0 time=0
268,note_off channel=0 note=46 velocity=0 time=0
269,note_off channel=0 note=50 velocity=0 time=0
270,note_off channel=0 note=52 velocity=0 time=0
271,note_on channel=0 note=45 velocity=64 time=0
272,note_on channel=0 note=49 velocity=64 time=0
273,note_on channel=0 note=53 velocity=64 time=0
274,note_on channel=0 note=55 velocity=64 time=0
275,note_off channel=0 note=67 velocity=0 time=512
276,note_on channel=0 note=65 velocity=64 time=0
277,note_off channel=0 note=65 velocity=0 time=512
278,note_off channel=0 note=45 velocity=0 time=0
279,note_off channel=0 note=49 velocity=0 time=0
280,note_off channel=0 note=53 velocity=0 time=0
281,note_off channel=0 note=55 velocity=0 time=0
282,note_on channel=0 note=62 velocity=64 time=0
283,note_on channel=0 note=38 velocity=64 time=0
284,note_on channel=0 note=41 velocity=64 time=0
285,note_on channel=0 note=45 velocity=64 time=0
286,note_on channel=0 note=48 velocity=64 time=0
287,note_off channel=0 note=62 velocity=0 time=2560
288,note_on channel=0 note=65 velocity=64 time=0
289,note_off channel=0 note=65 velocity=0 time=512
290,note_on channel=0 note=69 velocity=64 time=0
291,note_off channel=0 note=69 velocity=0 time=512
292,note_on channel=0 note=72 velocity=64 time=0
293,note_off channel=0 note=72 velocity=0 time=512
294,note_off channel=0 note=38 velocity=0 time=0
295,note_off channel=0 note=41 velocity=0 time=0
296,note_off channel=0 note=45 velocity=0 time=0
297,note_off channel=0 note=48 velocity=0 time=0
298,note_on channel=0 note=76 velocity=64 time=0
299,note_on channel=0 note=38 velocity=64 time=0
300,note_on channel=0 note=42 velocity=64 time=0
301,note_on channel=0 note=45 velocity=64 time=0
302,note_on channel=0 note=48 velocity=64 time=0
303,note_off channel=0 note=76 velocity=0 time=3072
304,note_on channel=0 note=74 velocity=64 time=0
305,note_off channel=0 note=74 velocity=0 time=1024
306,note_off channel=0 note=38 velocity=0 time=0
307,note_off channel=0 note=42 velocity=0 time=0
308,note_off channel=0 note=45 velocity=0 time=0
309,note_off channel=0 note=48 velocity=0 time=0
310,note_on channel=0 note=70 velocity=64 time=0
311,note_on channel=0 note=43 velocity=64 time=0
312,note_on channel=0 note=46 velocity=64 time=0
313,note_on channel=0 note=50 velocity=64 time=0
314,note_on channel=0 note=53 velocity=64 time=0
315,note_off channel=0 note=70 velocity=0 time=2048
316,note_on channel=0 note=64 velocity=64 time=0
317,note_off channel=0 note=43 velocity=0 time=0
318,note_off channel=0 note=46 velocity=0 time=0
319,note_off channel=0 note=50 velocity=0 time=0
320,note_off channel=0 note=53 velocity=0 time=0
321,note_on channel=0 note=42 velocity=64 time=0
322,note_on channel=0 note=46 velocity=64 time=0
323,note_on channel=0 note=49 velocity=64 time=0
324,note_on channel=0 note=52 velocity=64 time=0
325,note_off channel=0 note=64 velocity=0 time=2048
326,note_off channel=0 note=42 velocity=0 time=0
327,note_off channel=0 note=46 velocity=0 time=0
328,note_off channel=0 note=49 velocity=0 time=0
329,note_off channel=0 note=52 velocity=0 time=0
330,note_on channel=0 note=65 velocity=64 time=0
331,note_on channel=0 note=41 velocity=64 time=0
332,note_on channel=0 note=45 velocity=64 time=0
333,note_on channel=0 note=48 velocity=64 time=0
334,note_on channel=0 note=52 velocity=64 time=0
335,note_off channel=0 note=65 velocity=0 time=4096
336,note_off channel=0 note=41 velocity=0 time=0
337,note_off channel=0 note=45 velocity=0 time=0
338,note_off channel=0 note=48 velocity=0 time=0
339,note_off channel=0 note=52 velocity=0 time=0
