Offset,Midi
299.0,44
299.25,44
299.5,60
300.0,35
300.0,60
300.25,35
300.25,44
300.5,35
300.5,44
300.75,60
300.75,35
301.0,35
301.25,44
301.25,35
301.5,60
301.5,44
301.5,35
302.0,44
302.0,35
302.0,60
302.5,44
302.5,35
302.75,44
303.0,60
303.0,44
303.0,35
303.25,35
303.5,44
303.75,35
303.75,60
304.0,60
304.0,44
304.25,35
304.75,60
304.75,44
305.0,44
305.0,35
305.0,60
305.5,44
305.5,60
305.5,35
305.75,44
305.75,35
306.0,60
306.0,44
306.25,60
306.5,35
306.75,76
306.75,35
307.0,35
307.0,44
307.0,76
307.25,35
307.25,60
307.5,35
307.5,60
307.5,44
307.75,35
307.75,44
308.0,60
308.0,76
308.0,44
308.25,60
308.25,44
308.5,35
308.75,60
308.75,80
309.0,60
309.0,80
309.0,35
309.25,44
309.5,44
309.5,60
310.0,60
310.0,80
310.0,35
310.0,44
310.25,35
310.25,44
310.75,60
310.75,35
311.0,44
311.0,35
